Arrival-time,service
0,0.4
0.4,0.665110618872781
1.6,0.97315946019256
2.1,0.256701573322869
3.8,0.933581045012924
4,0.812866440260766
5.6,0.774804014209481
5.8,0.441663127697898
7.2,0.824312809351672
8.5,0.953746621875489
9,0.679917591039241
9.8,0.517900060809042
12,0.14400358303829
12.3,0.653430623861176
12.8,0.626605499216266
13,0.993622406321122
13.2,0.74278575434181
13.9,0.33377792964006
15,1.27720221216816
16,1.18043220424282
18,0.733354162892168
21,0.043486047370895
22.4,0.369474300578227
23.564,1.12518533857646
24,0.11111706914854
25.45,1.60619047410092
26.78,1.25586477313845
27,1.42355947494035
29,0.789925311651271
31,0.217491265683188
32.34,0.583413418181917
32.67,0.439770264187858
34,0.841200563726953
39,0.845702590711121
40,0.981997114348478
41,0.889104075568299
49,1.04982499994534
51,1.81569213460884
52,1.8738765136852
52.3,0.347027688129229
53,0.913983434324716
53.1,1.27795261537423
53.7,0.720690224614178
54,0.717712144707314
54.9,0.907833447714133
61.2,3.89202696205801
61.8,0.204088527164256
62,0.199999867853981
63,0.210280978244909
64.9,3.0180606497834
67.567,4.78005680605484
68,0.857694543206053
69.654,4.81916387619294
73,1.47062565680462
75,4.21350287000178
79,0.55059658497156
81,2.08555957201283
83.8,3.87292532611077
90,1.48987199656233
94,0.590189377080057
99,2.63747527935569
102.23,1.15014510590292
110,3.15116776409026
112,1.5637118095249
120,4.51679612854809
128,4.06848402523937
134,1.86492918949706
139,1.50590295582309
145,1.4638240128403
146.8,3.4220808215752
149,2.54052493195551
155,4.83204464420697
160,1.46733470471252
